ID,Prediction
1,0.02
2,0.01
3,0.13
4,0.02
5,0.01
6,0.02
7,0.01
8,0.73
9,0.42
10,0.81
11,0.0
12,0.06
13,0.11
14,0.82
15,0.0
16,0.09
17,0.03
18,0.54
19,0.83
20,0.0
21,0.03
22,0.2
23,0.98
24,0.79
25,0.03
26,0.18
27,0.01
28,0.01
29,0.02
30,0.08
31,0.0
32,0.06
33,0.0
34,0.0
35,0.35
36,0.22
37,0.0
38,0.54
39,0.06
40,0.9
41,0.68
42,0.06
43,0.99
44,0.04
45,0.0
46,0.0
47,0.03
48,0.49
49,0.02
50,0.04
51,0.0
52,0.13
53,0.52
54,0.36
55,0.99
56,0.23
57,0.23
58,0.1
59,0.35
60,0.62
61,0.0
62,0.31
63,0.11
64,0.0
65,0.0
66,0.01
67,0.99
68,0.24
69,0.01
70,0.0
71,0.0
72,0.61
73,0.0
74,0.08
75,0.38
76,0.01
77,0.0
78,0.12
79,0.59
80,0.0
81,0.15
82,0.03
83,0.02
84,0.0
85,0.19
86,0.99
87,0.05
88,0.0
89,0.11
90,0.82
91,0.73
92,0.82
93,0.01
94,0.01
95,0.42
96,0.81
97,0.0
98,0.0
99,0.12
100,0.18
101,0.87
102,0.12
103,0.0
104,0.24
105,0.69
106,0.02
107,0.01
108,0.0
109,0.92
110,0.14
111,0.01
112,0.04
113,0.01
114,0.03
115,0.82
116,0.08
117,0.0
118,0.0
119,0.09
120,0.08
121,0.83
122,0.0
123,0.69
124,0.58
125,1.0
126,0.0
127,0.12
128,0.34
129,0.09
130,0.18
131,0.72
132,0.22
133,0.81
134,0.53
135,0.1
136,0.03
137,0.0
138,0.0
139,0.2
140,0.01
141,0.31
142,0.01
143,0.0
144,0.2
145,0.04
146,0.59
147,0.01
148,0.01
149,0.31
150,0.0
151,0.66
152,0.65
153,0.18
154,0.01
155,0.26
156,0.78
157,0.31
158,0.0
159,0.01
160,0.22
161,1.0
162,0.33
163,0.0
164,0.0
165,0.02
166,0.28
167,0.17
168,0.05
169,0.0
170,0.0
171,0.97
172,0.0
173,0.28
174,0.0
175,0.13
176,0.32
177,0.07
178,0.06
179,0.02
180,0.01
181,0.65
182,0.14
183,0.0
184,0.09
185,0.0
186,0.01
187,0.0
188,0.07
189,0.01
190,0.0
191,0.05
192,0.43
193,0.23
194,0.63
195,0.22
196,0.01
197,0.85
198,0.02
199,0.605
200,0.12
201,0.0
202,0.32
203,0.0
204,0.03
205,0.01
206,0.62
